FECHA HECHO,COD_DEPTO,DEPARTAMENTO,COD_MUNI,MUNICIPIO,ACCION,CANTIDAD
01/01/2010,50,META,50350,LA MACARENA,HERIDO,1
01/01/2010,27,CHOCO,27787,TADO,HERIDO,1
01/01/2010,05,ANTIOQUIA,05266,ENVIGADO,HERIDO,1
01/01/2010,05,ANTIOQUIA,05308,GIRARDOTA,HERIDO,1
01/01/2010,19,CAUCA,19050,ARGELIA,HERIDO,2
01/01/2010,52,NARIÑO,52612,RICAURTE,HERIDO,4
01/01/2010,70,SUCRE,70204,COLOSO,HERIDO,1
01/01/2010,76,VALLE DEL CAUCA,76001,CALI,HERIDO,1
01/01/2010,76,VALLE DEL CAUCA,76001,CALI,HERIDO,1
01/01/2010,76,VALLE DEL CAUCA,76275,FLORIDA,HERIDO,2
02/01/2010,52,NARIÑO,52079,BARBACOAS,HERIDO,1
02/01/2010,19,CAUCA,19548,PIENDAMO,HERIDO,1
02/01/2010,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",HERIDO,1
03/01/2010,81,ARAUCA,81065,ARAUQUITA,HERIDO,1
03/01/2010,05,ANTIOQUIA,05030,AMAGA,HERIDO,1
03/01/2010,05,ANTIOQUIA,05001,MEDELLIN,HERIDO,1
03/01/2010,27,CHOCO,27001,QUIBDO,HERIDO,1
04/01/2010,85,CASANARE,85125,HATO COROZAL,ASESINADO,1
04/01/2010,81,ARAUCA,81065,ARAUQUITA,HERIDO,1
04/01/2010,18,CAQUETA,18410,LA MONTAÑITA,HERIDO,1
04/01/2010,05,ANTIOQUIA,05001,MEDELLIN,HERIDO,1
05/01/2010,81,ARAUCA,81065,ARAUQUITA,HERIDO,1
05/01/2010,86,PUTUMAYO,86001,MOCOA,ASESINADO,1
05/01/2010,15,BOYACA,15001,TUNJA,HERIDO,1
05/01/2010,86,PUTUMAYO,86001,MOCOA,HERIDO,1
06/01/2010,18,CAQUETA,18753,SAN VICENTE DEL CAGUAN,ASESINADO,1
06/01/2010,52,NARIÑO,52573,PUERRES,HERIDO,1
06/01/2010,05,ANTIOQUIA,05761,SOPETRAN,ASESINADO,1
06/01/2010,05,ANTIOQUIA,05761,SOPETRAN,ASESINADO,1
06/01/2010,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",HERIDO,1
06/01/2010,44,LA GUAJIRA,44847,URIBIA,HERIDO,1
06/01/2010,52,NARIÑO,52001,PASTO,HERIDO,1
06/01/2010,52,NARIÑO,52720,SAPUYES,HERIDO,1
07/01/2010,50,META,50370,URIBE,ASESINADO,1
07/01/2010,50,META,50370,URIBE,HERIDO,1
07/01/2010,50,META,50370,URIBE,HERIDO,1
08/01/2010,81,ARAUCA,81065,ARAUQUITA,HERIDO,1
08/01/2010,73,TOLIMA,73675,SAN ANTONIO,HERIDO,1
08/01/2010,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",HERIDO,1
09/01/2010,05,ANTIOQUIA,05790,TARAZA,HERIDO,1
09/01/2010,52,NARIÑO,52256,EL ROSARIO,HERIDO,1
09/01/2010,19,CAUCA,19100,BOLIVAR,HERIDO,2
10/01/2010,19,CAUCA,19142,CALOTO,HERIDO,1
10/01/2010,18,CAQUETA,18205,CURILLO,HERIDO,1
10/01/2010,19,CAUCA,19807,TIMBIO,HERIDO,1
10/01/2010,25,CUNDINAMARCA,25402,LA VEGA,HERIDO,1
10/01/2010,41,HUILA,41001,NEIVA,HERIDO,1
10/01/2010,50,META,50001,VILLAVICENCIO,HERIDO,1
10/01/2010,50,META,50001,VILLAVICENCIO,HERIDO,1
11/01/2010,15,BOYACA,15839,TUTAZA,ASESINADO,1
11/01/2010,95,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,ASESINADO,1
11/01/2010,15,BOYACA,15839,TUTAZA,HERIDO,1
11/01/2010,95,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,HERIDO,1
11/01/2010,95,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,HERIDO,1
11/01/2010,50,META,50711,VISTAHERMOSA,HERIDO,1
11/01/2010,50,META,50370,URIBE,HERIDO,1
11/01/2010,95,GUAVIARE,95001,SAN JOSE DEL GUAVIARE,HERIDO,1
11/01/2010,81,ARAUCA,81065,ARAUQUITA,HERIDO,1
11/01/2010,05,ANTIOQUIA,05001,MEDELLIN,HERIDO,1
11/01/2010,25,CUNDINAMARCA,25335,GUAYABETAL,HERIDO,1
12/01/2010,15,BOYACA,15238,DUITAMA,HERIDO,1
12/01/2010,76,VALLE DEL CAUCA,76001,CALI,HERIDO,1
13/01/2010,54,NORTE DE SANTANDER,54250,EL TARRA,HERIDO,1
13/01/2010,54,NORTE DE SANTANDER,54250,EL TARRA,HERIDO,1
13/01/2010,54,NORTE DE SANTANDER,54250,EL TARRA,ASESINADO,1
13/01/2010,70,SUCRE,70823,TOLU VIEJO,HERIDO,1
13/01/2010,76,VALLE DEL CAUCA,76001,CALI,HERIDO,1
14/01/2010,50,META,50001,VILLAVICENCIO,HERIDO,1
15/01/2010,27,CHOCO,27150,CARMEN DEL DARIEN,HERIDO,1
15/01/2010,27,CHOCO,27150,CARMEN DEL DARIEN,HERIDO,1
15/01/2010,27,CHOCO,27150,CARMEN DEL DARIEN,HERIDO,1
15/01/2010,41,HUILA,41357,IQUIRA,ASESINADO,1
15/01/2010,18,CAQUETA,18150,CARTAGENA DEL CHAIRA,HERIDO,1
15/01/2010,41,HUILA,41357,IQUIRA,HERIDO,1
15/01/2010,50,META,50001,VILLAVICENCIO,HERIDO,1
16/01/2010,52,NARIÑO,52385,LA LLANADA,ASESINADO,1
16/01/2010,23,CORDOBA,23807,TIERRALTA,HERIDO,1
16/01/2010,41,HUILA,41524,PALERMO,ASESINADO,2
16/01/2010,17,CALDAS,17001,MANIZALES,HERIDO,1
16/01/2010,19,CAUCA,19001,POPAYAN,HERIDO,2
16/01/2010,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",HERIDO,3
16/01/2010,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",HERIDO,1
16/01/2010,25,CUNDINAMARCA,25175,CHIA,HERIDO,1
16/01/2010,41,HUILA,41524,PALERMO,HERIDO,2
16/01/2010,76,VALLE DEL CAUCA,76364,JAMUNDI,HERIDO,1
17/01/2010,18,CAQUETA,18410,LA MONTAÑITA,ASESINADO,1
17/01/2010,19,CAUCA,19212,CORINTO,ASESINADO,1
17/01/2010,19,CAUCA,19212,CORINTO,ASESINADO,1
17/01/2010,19,CAUCA,19212,CORINTO,HERIDO,1
17/01/2010,11,BOGOTA D.C.,11001,"BOGOTA, D.C.",ASESINADO,1
17/01/2010,08,ATLANTICO,08001,BARRANQUILLA,HERIDO,2
